"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
237;"Kasey McAteer";"Leicester";18;854;1;1;1.45;0.91;0.15;0.1
238;"Evan Ferguson";"Brighton,West Ham";21;341;1;0;1.48;0.79;0.39;0.21
239;"Vitalii Mykolenko";"Everton";35;3085;1;2;0.6;3.03;0.02;0.09
240;"Jens Cajuste";"Ipswich";30;2019;1;1;0.61;0.62;0.03;0.03
241;"Djed Spence";"Tottenham";25;1784;1;2;0.42;1.85;0.02;0.09
242;"Jan Paul van Hecke";"Brighton";34;2962;1;1;1;1.56;0.03;0.05
243;"Keane Lewis-Potter";"Brentford";38;3131;1;3;3.26;3.34;0.09;0.1
244;"Wilson Odobert";"Tottenham";16;845;1;0;2.12;0.86;0.23;0.09
245;"Flynn Downes";"Southampton";27;2175;1;0;0.89;1.62;0.04;0.07
246;"Rico Lewis";"Manchester City";28;1903;1;2;1.64;0.35;0.08;0.02
247;"Emmanuel Agbadou";"Wolverhampton Wanderers";16;1414;1;0;0.69;0.19;0.04;0.01
248;"Luis Sinisterra";"Bournemouth";12;221;1;1;1.72;1.76;0.7;0.72
249;"Matheus Nunes";"Manchester City";26;1673;1;6;1.19;3.95;0.06;0.21
250;"Brajan Gruda";"Brighton";21;684;1;4;1.01;2.27;0.13;0.3
251;"Lewis Miley";"Newcastle United";14;274;1;0;0.2;0.09;0.07;0.03
252;"Jurriën Timber";"Arsenal";30;2443;1;3;1.31;1.13;0.05;0.04
253;"Calvin Bassey";"Fulham";35;3072;1;0;1.12;0.11;0.03;0
254;"Sávio";"Manchester City";29;1801;1;8;5.25;6.94;0.26;0.35
255;"Manuel Ugarte";"Manchester United";29;1802;1;2;1.09;1.62;0.05;0.08
256;"Ian Maatsen";"Aston Villa";29;1073;1;2;0.98;3.03;0.08;0.25
257;"Matheus França";"Crystal Palace";4;45;1;0;0.41;0;0.82;0
258;"Myles Lewis-Skelly";"Arsenal";23;1371;1;0;0.25;0.5;0.02;0.03
259;"Tyrique George";"Chelsea";8;162;1;1;0.37;1.03;0.21;0.57
260;"Jacob Greaves";"Ipswich";25;2208;1;0;1.44;0.23;0.06;0.01
261;"Sam Morsy";"Ipswich";33;2767;1;1;0.3;1.42;0.01;0.05
262;"Conor Chaplin";"Ipswich";22;851;1;1;1.43;0.79;0.15;0.08
263;"Jack Taylor";"Ipswich";32;777;1;0;0.59;0.77;0.07;0.09
264;"Mats Wieffer";"Brighton";25;988;1;3;1.1;1.07;0.1;0.1
265;"Yukinari Sugawara";"Southampton";30;1533;1;1;0.45;3.28;0.03;0.19
266;"Ramón Sosa";"Nottingham Forest";19;246;1;0;1.13;0.68;0.41;0.25
267;"Justin Devenny";"Crystal Palace";23;472;1;1;1.15;0.63;0.22;0.12
268;"Ross Stewart";"Southampton";12;379;1;0;0.88;0;0.21;0
269;"Ferdi Kadioglu";"Brighton";6;401;1;0;0.6;0.16;0.14;0.04
270;"Diego Gómez";"Brighton";16;487;1;0;0.88;1.58;0.16;0.29
271;"Romain Esse";"Crystal Palace";7;124;1;1;0.58;0.3;0.42;0.22
272;"Timo Werner";"Tottenham";18;488;0;3;0.95;3.08;0.18;0.57
273;"Jannik Vestergaard";"Leicester";18;1411;0;0;0.11;0.07;0.01;0
274;"Bernd Leno";"Fulham";38;3420;0;1;0;0.32;0;0.01
275;"Callum Wilson";"Newcastle United";18;313;0;0;0.75;0.19;0.22;0.05
276;"Danny Ward";"Leicester";2;132;0;0;0;0;0;0
277;"Adam Lallana";"Southampton";14;342;0;2;0.15;0.55;0.04;0.15
278;"James Milner";"Brighton";4;177;0;0;0.19;0.26;0.1;0.13
279;"Joel Ward";"Crystal Palace";2;75;0;0;0;0.07;0;0.08
280;"Aaron Cresswell";"West Ham";18;821;0;0;0.15;1.59;0.02;0.17
281;"Nathan Aké";"Manchester City";10;684;0;0;0.24;0.02;0.03;0
282;"Seamus Coleman";"Everton";5;213;0;0;0.48;0;0.2;0
283;"Nathaniel Clyne";"Crystal Palace";13;483;0;0;0.02;0.16;0;0.03
284;"Raheem Sterling";"Arsenal";17;486;0;2;0.97;0.54;0.18;0.1
285;"Alex McCarthy";"Southampton";5;450;0;0;0;0;0;0
286;"Kyle Walker";"Manchester City";15;968;0;0;0.11;0.72;0.01;0.07
